keyword,parent_keyword,cluster,category,monthly_pc,monthly_mobile,monthly_total,competition,source_seed,trend_1m,trend_3m,trend_momentum,seasonality,web_result_count,demand_supply_ratio,competition_ratio,result_count_checked_at,commercial_intent,freshness,longtail_score,content_fit,opportunity_score,score_valid,score_invalid_reasons,data_coverage,novelty_score,theme_state,seed_source,exploration_bucket,status,discovered_at,last_checked,source,depth,confidence,content_types,intent,action,closest_url,overlap,reason,strategy,volume_note,search_ads_checked_at,datalab_checked_at,pending_validation,pending_retry_count,pending_last_attempt_at,pending_validation_expired
1개월 초과 학원 수강료 중도해지 환불 기준,,1개월초과학원수강료중도해지환불기준,topic:개월,,,0,낮음,1개월 초과 학원 수강료 중도해지 환불 기준,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/column/baby-fever-management-guide-2026.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-20T05:46:07.829764+09:00,2026-09-19T09:24:24.406579+09:00,,,,
2026년 건물신축가격기준액 변경과 시행일,,2026년건물신축가격기준액변경과시행일,topic:건물신축가격기준액,,,0,낮음,2026년 건물신축가격기준액 변경과 시행일,,,,,,,,,0.9,1,0.9,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,commercial|current-information|informational,informational,NEW_PAGE,/kor/column/gold-investment-strategy-2026.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-20T05:46:07.829764+09:00,2026-09-19T09:24:24.406579+09:00,,,,
5일·10일 후 영업일 날짜 계산,,5일10일후영업일날짜계산,tools,,,0,낮음,5일·10일 후 영업일 날짜 계산,,,,,,,,,0.3,0.2,0.5850000000000001,0.9,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,calculator/tool|evergreen|informational,calculator/tool,NEW_PAGE,/kor/util/date-calculator/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-20T05:46:07.829764+09:00,2026-09-19T09:24:24.406579+09:00,,,,
CITES 여행자 기념품,,cites여행자기념품,travel,,,0,낮음,CITES 여행자 기념품,,,,,,,,,0.3,0.2,0.22000000000000003,0.9,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/report/animal/chameleon.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
CSS box model calculator,,cssboxmodelcalculator,topic:css,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/grade-calculator/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
CSS clamp generator,,cssclampgenerator,topic:css,,,0,낮음,CSS clamp generator,,,,,,,,,0.3,0.2,0.34,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/id/util/crc/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
CSS object-fit preview,,cssobjectfitpreview,topic:css,,,0,낮음,CSS object-fit preview,,,,,,,,,0.3,0.2,0.38,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/pt/game/SurvivorMini/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
Client Hints inspection,,clienthintsinspection,topic:client,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/benin-hettine.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-10T18:22:53.467440+09:00,2026-09-19T09:24:24.406579+09:00,,,,
GPC and DNT signal check,,gpcanddntsignalcheck,topic:gpc,,,0,낮음,GPC and DNT signal check,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/korea-cheonan.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-17T22:32:34.760966+09:00,2026-09-19T09:24:24.406579+09:00,,,,
HTML lang attribute checker,,htmllangattributechecker,topic:html,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:29:24.992855+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/netherland-utrecht.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-10T18:28:14.200587+09:00,2026-09-19T09:24:24.406579+09:00,,,,
CSS specificity calculator,,cssspecificitycalculator,topic:css,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/electricity-cost-calculator/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
HTTP/3 connection check,,http3connectioncheck,topic:http,,,0,낮음,HTTP/3 connection check,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/fr/util/dice3d/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T03:18:11.968034+09:00,2026-09-19T09:24:24.406579+09:00,,,,
IRI URI converter,,iriuriconverter,topic:iri,,,0,낮음,IRI URI converter,,,,,,,,,0.3,0.2,0.30000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/caseconverter/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
JSON to CSV converter,,jsontocsvconverter,topic:json,,,0,낮음,JSON to CSV converter,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/caseconverter/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T20:22:53.755801+09:00,2026-09-19T09:24:24.406579+09:00,,,,
Merchant Center 인기제품 순위와 지연 해석,,merchantcenter인기제품순위와지연해석,topic:merchant,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/cuba-varadero.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-19T09:24:24.406579+09:00,,,,
SNS 해외직구 쇼핑몰 피해,,sns해외직구쇼핑몰피해,topic:sns,,,0,낮음,SNS 해외직구 쇼핑몰 피해,,,,,,,,,0.3,0.2,0.24,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/report/travel/singapore-orchard.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T20:22:53.755801+09:00,2026-09-19T09:24:24.406579+09:00,,,,
TLS connection inspection,,tlsconnectioninspection,topic:tls,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/util/car-inspection-cost/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-19T09:24:24.406579+09:00,,,,
URI Template expander,,uritemplateexpander,topic:uri,,,0,낮음,URI Template expander,,,,,,,,,0.3,0.2,0.38,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/korea-gunwi.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
URI component parser,,uricomponentparser,topic:uri,,,0,낮음,URI component parser,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/url-encoder/,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
URI normalization comparison,,urinormalizationcomparison,topic:uri,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T18:31:24.471200+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/stock/aapl.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
URI percent encoding,,uripercentencoding,topic:uri,,,0,낮음,URI percent encoding,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/korea-yangyang.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
UUID format validator,,uuidformatvalidator,topic:uuid,,,0,낮음,UUID format validator,,,,,,,,,0.3,0.2,0.38,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/uuid-generator/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
UUID version inspector,,uuidversioninspector,topic:uuid,,,0,낮음,UUID version inspector,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/estonia-johvi.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-18T07:52:46.575358+09:00,2026-09-19T09:24:24.406579+09:00,,,,
UUIDv7 timestamp decoder,,uuidv7timestampdecoder,topic:uuidv,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/unix-timestamp/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-19T09:24:24.406579+09:00,,,,
Unicode confusable detector,,unicodeconfusabledetector,topic:unicode,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/north-macedonia-sveti-nikole.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
Unicode normalization forms,,unicodenormalizationforms,topic:unicode,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/bhutan-damchu.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
WCAG color contrast ratio,,wcagcolorcontrastratio,topic:wcag,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-20T09:10:53.938415+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/stock/cmcsa.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-19T09:24:24.406579+09:00,,,,
